,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,label
0,0.329231,0.328,0.326154,0.323692,0.321231,0.318769,0.316923,0.315077,0.312615,0.310154,0.307692,0.304615,0.302154,0.299077,0.296615,0.337231,0.335385,0.333538,0.331692,0.329846,0.328615,0.326154,0.324308,0.321846,0.319385,0.316923,0.314462,0.312,0.308923,0.305846,0.340923,0.339692,0.338462,0.336615,0.334769,0.332923,0.331077,0.329231,0.327385,0.325538,0.323692,0.321846,0.318769,0.316308,0.313846,0.341538,0.340308,0.338462,0.337231,0.336,0.334154,0.332923,0.331077,0.329846,0.328,0.326769,0.324923,0.323692,0.321231,0.318769,0.338462,0.337231,0.336,0.334769,0.333538,0.332308,0.331077,0.329846,0.329231,0.328,0.327385,0.326154,0.324923,0.323077,0.321846,0.333538,0.332308,0.330462,0.329231,0.328,0.326769,0.326154,0.325538,0.324923,0.323692,0.323692,0.323077,0.322462,0.321846,0.321231,0.327385,0.325538,0.323692,0.321846,0.320615,0.319385,0.318769,0.317538,0.317538,0.317538,0.317538,0.317538,0.317538,0.318154,0.318154,0.321846,0.318769,0.316308,0.314462,0.312615,0.311385,0.310769,0.309538,0.309538,0.309538,0.310154,0.310154,0.310769,0.312,0.312615,0.317538,0.313846,0.310769,0.308308,0.306462,0.305231,0.304,0.303385,0.303385,0.303385,0.304,0.304615,0.305846,0.307077,0.308308,0.317538,0.313846,0.310769,0.308308,0.305846,0.304,0.302769,0.302154,0.302154,0.302154,0.302769,0.303385,0.304,0.305846,0.307077,0.321231,0.317538,0.314462,0.311385,0.308923,0.307077,0.305846,0.304615,0.304615,0.304,0.304615,0.305231,0.306462,0.307692,0.309538,0.329231,0.325538,0.321231,0.318154,0.315692,0.313231,0.312,0.310154,0.310154,0.309538,0.309538,0.310154,0.310769,0.312615,0.313846,0.341538,0.336615,0.332308,0.328615,0.325538,0.322462,0.320615,0.318154,0.318154,0.316308,0.316923,0.316308,0.317538,0.319385,0.321846,0.356923,0.351385,0.346462,0.341538,0.337846,0.334154,0.331692,0.328615,0.327385,0.325538,0.325538,0.324923,0.326769,0.328615,0.331077,0.376615,0.370462,0.364308,0.358769,0.353846,0.348923,0.345231,0.341538,0.339692,0.336615,0.336615,0.335385,0.336615,0.339077,0.341538,58.0,11.0,CL
1,0.139692,0.139077,0.137846,0.137231,0.137231,0.137231,0.137846,0.138462,0.140308,0.142154,0.144,0.147077,0.150154,0.153846,0.156923,0.136,0.134154,0.131692,0.130462,0.128615,0.128,0.127385,0.128,0.128615,0.129846,0.132308,0.134769,0.138462,0.142154,0.146462,0.132308,0.129846,0.126154,0.123077,0.12,0.118154,0.116923,0.115692,0.115692,0.116923,0.118769,0.121231,0.124923,0.129846,0.134769,0.128615,0.124308,0.12,0.115692,0.112,0.108923,0.105846,0.104,0.103385,0.103385,0.105846,0.108923,0.113231,0.118154,0.124923,0.126154,0.12,0.114462,0.110154,0.104615,0.100308,0.096,0.093538,0.092308,0.092923,0.094769,0.097231,0.102154,0.107692,0.114462,0.124308,0.117538,0.110769,0.104615,0.098462,0.093538,0.089231,0.085538,0.084308,0.083692,0.084923,0.087385,0.092308,0.097846,0.105231,0.123692,0.115692,0.107692,0.100923,0.093538,0.087385,0.082462,0.078769,0.076308,0.075692,0.076308,0.079385,0.083692,0.089231,0.096615,0.124308,0.115692,0.106462,0.097846,0.089846,0.083077,0.078154,0.073846,0.070769,0.068923,0.069538,0.072,0.075692,0.081846,0.089846,0.126769,0.116923,0.107077,0.097846,0.089231,0.081231,0.075692,0.070154,0.066462,0.064,0.064615,0.066462,0.070769,0.076923,0.084923,0.130462,0.12,0.109538,0.098462,0.089231,0.081231,0.075077,0.068923,0.064,0.061538,0.060923,0.062769,0.066462,0.072615,0.081231,0.136615,0.124923,0.113846,0.102769,0.092308,0.083692,0.076308,0.069538,0.064,0.060923,0.060308,0.061538,0.065231,0.070769,0.08,0.143385,0.131077,0.118769,0.107077,0.096,0.086769,0.078769,0.071385,0.065846,0.062769,0.062154,0.062769,0.065846,0.072,0.080615,0.150154,0.138462,0.125538,0.113846,0.101538,0.092308,0.083077,0.075692,0.070154,0.067077,0.065846,0.067077,0.069538,0.075692,0.084308,0.158769,0.146462,0.133538,0.121231,0.109538,0.098462,0.089231,0.081846,0.075692,0.072615,0.072,0.073846,0.076923,0.081846,0.091692,0.167385,0.155692,0.142769,0.130462,0.118154,0.107077,0.096615,0.089846,0.084308,0.081231,0.08,0.082462,0.086154,0.092308,0.102769,94.0,17.0,CL
2,0.475692,0.473846,0.471385,0.468923,0.465846,0.462769,0.460308,0.456615,0.453538,0.450462,0.448,0.446769,0.446769,0.448,0.450462,0.473846,0.470769,0.467692,0.464,0.459692,0.455385,0.450462,0.446154,0.442462,0.44,0.438154,0.436923,0.437538,0.44,0.443077,0.468923,0.464615,0.460308,0.455385,0.449846,0.444308,0.439385,0.435077,0.431385,0.428308,0.426462,0.426462,0.428308,0.430769,0.435692,0.461538,0.456615,0.450462,0.444923,0.438769,0.433231,0.428308,0.423385,0.419692,0.417231,0.416,0.416615,0.418462,0.422154,0.427077,0.452923,0.446769,0.440615,0.434462,0.428308,0.422154,0.416615,0.412308,0.409231,0.406769,0.405538,0.406154,0.409231,0.413538,0.419692,0.443692,0.437538,0.431385,0.425231,0.419077,0.412923,0.407385,0.403077,0.399385,0.397538,0.396923,0.397538,0.400615,0.405538,0.412308,0.436308,0.430154,0.424,0.417231,0.411077,0.404923,0.399385,0.395077,0.392,0.389538,0.388923,0.390769,0.393846,0.399385,0.406769,0.430154,0.424,0.417846,0.411692,0.404923,0.399385,0.393231,0.388923,0.385846,0.384,0.383385,0.385231,0.388923,0.394462,0.402462,0.425231,0.419692,0.413538,0.407385,0.401231,0.394462,0.390154,0.385231,0.382769,0.380308,0.380308,0.382154,0.385846,0.392,0.4,0.422769,0.416615,0.411077,0.404923,0.399385,0.393846,0.388923,0.384615,0.381538,0.379692,0.379692,0.381538,0.385231,0.391385,0.4,0.422154,0.416615,0.411077,0.405538,0.4,0.395077,0.390154,0.386462,0.383385,0.382154,0.382154,0.384,0.388308,0.394462,0.403077,0.424,0.419077,0.413538,0.408615,0.403077,0.398769,0.395077,0.391385,0.388923,0.387692,0.387692,0.389538,0.393846,0.4,0.408615,0.427077,0.423385,0.419077,0.414769,0.409846,0.405538,0.401846,0.398769,0.396923,0.395692,0.396308,0.398154,0.402462,0.408615,0.417846,0.432615,0.428923,0.426462,0.422769,0.419692,0.416,0.412923,0.410462,0.408615,0.408,0.408,0.410462,0.414154,0.420308,0.428923,0.436923,0.435692,0.433846,0.432615,0.430154,0.428308,0.425846,0.424,0.422769,0.422154,0.423385,0.425846,0.429538,0.435077,0.443077,100.0,32.0,CL
3,0.248615,0.243692,0.24,0.237538,0.235692,0.234462,0.234462,0.235692,0.237538,0.240615,0.244308,0.248615,0.253538,0.260308,0.267692,0.246154,0.24,0.235077,0.231385,0.228308,0.227077,0.226462,0.227077,0.228308,0.231385,0.235077,0.239385,0.244923,0.251692,0.259692,0.243692,0.236308,0.230154,0.225231,0.221538,0.218462,0.217231,0.217231,0.218462,0.221538,0.225231,0.230154,0.236308,0.243692,0.251692,0.241231,0.232615,0.225231,0.219692,0.214769,0.211077,0.208615,0.208,0.208615,0.210462,0.214154,0.219077,0.225846,0.234462,0.243692,0.24,0.229538,0.221538,0.214154,0.208615,0.203692,0.200615,0.198769,0.198769,0.200615,0.203692,0.209231,0.216,0.224615,0.235077,0.239385,0.227692,0.217846,0.209846,0.203077,0.196923,0.192615,0.190154,0.188923,0.190154,0.193231,0.198769,0.206154,0.215385,0.226462,0.24,0.227077,0.216,0.206769,0.198154,0.191385,0.185846,0.182769,0.180923,0.181538,0.184,0.189538,0.196923,0.207385,0.219077,0.243077,0.228308,0.216,0.204923,0.195692,0.187692,0.181538,0.177231,0.175385,0.175385,0.177846,0.182154,0.189538,0.2,0.212923,0.248615,0.232,0.217846,0.205538,0.195077,0.186462,0.179077,0.174769,0.172308,0.171692,0.173538,0.177846,0.185846,0.195692,0.209231,0.257231,0.238154,0.222769,0.209231,0.197538,0.187692,0.179692,0.174769,0.171077,0.170462,0.172308,0.176615,0.184615,0.195077,0.208615,0.268923,0.248,0.229538,0.214769,0.201846,0.191385,0.183385,0.177231,0.173538,0.172308,0.173538,0.178462,0.186462,0.197538,0.212308,0.283692,0.260308,0.240615,0.224,0.209846,0.198154,0.189538,0.182769,0.179077,0.177231,0.179077,0.183385,0.192,0.203692,0.219077,0.302769,0.276923,0.254769,0.236308,0.220923,0.208615,0.198769,0.191385,0.187692,0.185846,0.187692,0.192615,0.201231,0.214154,0.230154,0.324923,0.297231,0.273231,0.252308,0.235692,0.222154,0.211692,0.204308,0.199385,0.198154,0.2,0.205538,0.214769,0.227692,0.244923,0.349538,0.321846,0.296,0.273231,0.255385,0.24,0.228308,0.220308,0.216,0.214154,0.216615,0.222769,0.232615,0.246154,0.264615,31.0,29.0,CL
4,0.248615,0.243692,0.24,0.237538,0.235692,0.234462,0.234462,0.235692,0.237538,0.240615,0.244308,0.248615,0.253538,0.260308,0.267692,0.246154,0.24,0.235077,0.231385,0.228308,0.227077,0.226462,0.227077,0.228308,0.231385,0.235077,0.239385,0.244923,0.251692,0.259692,0.243692,0.236308,0.230154,0.225231,0.221538,0.218462,0.217231,0.217231,0.218462,0.221538,0.225231,0.230154,0.236308,0.243692,0.251692,0.241231,0.232615,0.225231,0.219692,0.214769,0.211077,0.208615,0.208,0.208615,0.210462,0.214154,0.219077,0.225846,0.234462,0.243692,0.24,0.229538,0.221538,0.214154,0.208615,0.203692,0.200615,0.198769,0.198769,0.200615,0.203692,0.209231,0.216,0.224615,0.235077,0.239385,0.227692,0.217846,0.209846,0.203077,0.196923,0.192615,0.190154,0.188923,0.190154,0.193231,0.198769,0.206154,0.215385,0.226462,0.24,0.227077,0.216,0.206769,0.198154,0.191385,0.185846,0.182769,0.180923,0.181538,0.184,0.189538,0.196923,0.207385,0.219077,0.243077,0.228308,0.216,0.204923,0.195692,0.187692,0.181538,0.177231,0.175385,0.175385,0.177846,0.182154,0.189538,0.2,0.212923,0.248615,0.232,0.217846,0.205538,0.195077,0.186462,0.179077,0.174769,0.172308,0.171692,0.173538,0.177846,0.185846,0.195692,0.209231,0.257231,0.238154,0.222769,0.209231,0.197538,0.187692,0.179692,0.174769,0.171077,0.170462,0.172308,0.176615,0.184615,0.195077,0.208615,0.268923,0.248,0.229538,0.214769,0.201846,0.191385,0.183385,0.177231,0.173538,0.172308,0.173538,0.178462,0.186462,0.197538,0.212308,0.283692,0.260308,0.240615,0.224,0.209846,0.198154,0.189538,0.182769,0.179077,0.177231,0.179077,0.183385,0.192,0.203692,0.219077,0.302769,0.276923,0.254769,0.236308,0.220923,0.208615,0.198769,0.191385,0.187692,0.185846,0.187692,0.192615,0.201231,0.214154,0.230154,0.324923,0.297231,0.273231,0.252308,0.235692,0.222154,0.211692,0.204308,0.199385,0.198154,0.2,0.205538,0.214769,0.227692,0.244923,0.349538,0.321846,0.296,0.273231,0.255385,0.24,0.228308,0.220308,0.216,0.214154,0.216615,0.222769,0.232615,0.246154,0.264615,31.0,29.0,CL
5,0.293538,0.284923,0.278154,0.272615,0.268923,0.265231,0.262769,0.262154,0.261538,0.262769,0.265231,0.269538,0.274462,0.28,0.287385,0.292923,0.283077,0.274462,0.267077,0.261538,0.256615,0.253538,0.251692,0.251077,0.251692,0.253538,0.256615,0.260923,0.267692,0.275692,0.291692,0.28,0.270154,0.261538,0.254154,0.248615,0.243692,0.240615,0.238769,0.238769,0.240615,0.243692,0.249231,0.255385,0.263385,0.290462,0.276923,0.265231,0.255385,0.246769,0.239385,0.233231,0.229538,0.227077,0.227077,0.228308,0.232,0.236923,0.243692,0.252308,0.289231,0.273846,0.260923,0.249231,0.239385,0.230769,0.224,0.219077,0.216615,0.216,0.217231,0.220923,0.225846,0.233231,0.241846,0.288,0.271385,0.256615,0.243692,0.233231,0.223385,0.215385,0.209846,0.206769,0.206154,0.208,0.211692,0.217231,0.224615,0.233846,0.287385,0.269538,0.253538,0.239385,0.227077,0.216615,0.208,0.201846,0.198769,0.198769,0.200615,0.204923,0.210462,0.218462,0.227692,0.287385,0.268308,0.251077,0.235692,0.222769,0.211077,0.202462,0.196308,0.193231,0.192615,0.195077,0.199385,0.205538,0.214154,0.224,0.288615,0.268308,0.249846,0.233846,0.219692,0.207385,0.198154,0.192615,0.189538,0.188923,0.191385,0.195692,0.202462,0.211077,0.222154,0.291077,0.269538,0.250462,0.233231,0.218462,0.206154,0.196923,0.190154,0.187692,0.187077,0.189538,0.194462,0.201846,0.211077,0.221538,0.296,0.273231,0.252308,0.235077,0.219692,0.206769,0.196923,0.190769,0.187692,0.187692,0.190154,0.195692,0.203077,0.212308,0.223385,0.302154,0.278154,0.257231,0.238769,0.222769,0.209846,0.2,0.193231,0.190154,0.190154,0.192615,0.198769,0.206154,0.216,0.227692,0.310769,0.285538,0.263385,0.244923,0.228923,0.215385,0.204923,0.198154,0.195077,0.195077,0.198154,0.203692,0.211692,0.221538,0.233846,0.322462,0.296,0.272615,0.253538,0.237538,0.224,0.213538,0.206769,0.203077,0.203077,0.205538,0.211692,0.219692,0.229538,0.242462,0.337231,0.308923,0.284308,0.264615,0.248,0.234462,0.224615,0.217231,0.213538,0.213538,0.216,0.221538,0.229538,0.24,0.253538,31.0,28.0,CL
6,0.464615,0.463385,0.462769,0.460923,0.460308,0.457846,0.455385,0.452923,0.451077,0.450462,0.450462,0.450462,0.451692,0.453538,0.456615,0.461538,0.459692,0.458462,0.455385,0.453538,0.449231,0.446154,0.442462,0.440615,0.439385,0.439385,0.44,0.442462,0.445538,0.450462,0.460308,0.457231,0.453538,0.448615,0.443692,0.438154,0.433231,0.429538,0.427692,0.427077,0.427692,0.429538,0.432615,0.437538,0.443692,0.457231,0.452308,0.446154,0.438154,0.431385,0.425231,0.418462,0.416,0.412923,0.413538,0.415385,0.417846,0.422769,0.428923,0.436923,0.454769,0.445538,0.437538,0.428308,0.419077,0.412308,0.405538,0.401846,0.399385,0.4,0.403077,0.407385,0.413538,0.421538,0.431385,0.451077,0.441846,0.430769,0.418462,0.408615,0.400615,0.394462,0.390769,0.388923,0.389538,0.392615,0.398769,0.406154,0.416,0.427077,0.448,0.438154,0.425846,0.414154,0.403692,0.393846,0.387077,0.382769,0.380923,0.382154,0.385846,0.393231,0.401846,0.412308,0.424615,0.448615,0.437538,0.425231,0.412308,0.4,0.391385,0.384615,0.380308,0.378462,0.379077,0.382769,0.390154,0.4,0.411692,0.425231,0.453538,0.440615,0.427077,0.414769,0.403692,0.393846,0.385846,0.380923,0.379077,0.379692,0.383385,0.390154,0.400615,0.413538,0.428923,0.462769,0.449231,0.433846,0.420308,0.408,0.398154,0.390769,0.384615,0.382154,0.381538,0.385231,0.392,0.403692,0.416,0.433231,0.475692,0.459692,0.443692,0.428308,0.415385,0.404923,0.395692,0.390154,0.385231,0.385231,0.387692,0.395077,0.406154,0.420923,0.438154,0.490462,0.473231,0.455385,0.438769,0.424,0.412308,0.402462,0.395692,0.389538,0.390769,0.392615,0.400615,0.411692,0.427077,0.444923,0.505846,0.487385,0.469538,0.450462,0.434462,0.420308,0.408,0.4,0.396308,0.396308,0.398769,0.406769,0.417846,0.433846,0.451077,0.52,0.502154,0.483692,0.464,0.446769,0.431385,0.419077,0.408,0.402462,0.401846,0.406154,0.414154,0.426462,0.442462,0.463385,0.536615,0.518769,0.499692,0.479385,0.461538,0.443692,0.429538,0.418462,0.412923,0.411077,0.414769,0.424,0.437538,0.454769,0.475077,49.0,32.0,CL
7,0.552,0.544,0.536615,0.529846,0.524923,0.521846,0.52,0.519385,0.520615,0.523077,0.527385,0.534769,0.542154,0.549538,0.556923,0.537231,0.527385,0.518154,0.510769,0.504615,0.500923,0.498462,0.497231,0.499077,0.502154,0.508308,0.515692,0.525538,0.534769,0.544,0.523692,0.512,0.502154,0.492923,0.486154,0.481231,0.477538,0.476308,0.478769,0.481231,0.488615,0.496,0.507692,0.518769,0.530462,0.512,0.498462,0.486769,0.476923,0.469538,0.462769,0.457846,0.456,0.457846,0.460923,0.468308,0.477538,0.489846,0.503385,0.517538,0.502154,0.488,0.475077,0.464,0.454769,0.446769,0.440615,0.438154,0.438769,0.443077,0.449231,0.459077,0.472,0.487385,0.503385,0.495385,0.48,0.465231,0.453538,0.443077,0.433846,0.427692,0.424615,0.424615,0.427077,0.433846,0.443077,0.456615,0.472615,0.490462,0.491692,0.474462,0.459077,0.445538,0.433846,0.424615,0.418462,0.414769,0.413538,0.416,0.421538,0.430769,0.444308,0.460308,0.478769,0.490462,0.472615,0.456,0.441231,0.428923,0.419077,0.412923,0.408615,0.407385,0.408615,0.412923,0.421538,0.434462,0.451077,0.469538,0.492923,0.473846,0.456,0.440615,0.427692,0.417231,0.409846,0.405538,0.403077,0.403692,0.408,0.416,0.428308,0.444923,0.462769,0.499077,0.477538,0.459077,0.443077,0.429538,0.418462,0.410462,0.405538,0.403077,0.403077,0.406154,0.413538,0.425231,0.441231,0.459692,0.508308,0.485538,0.465231,0.448615,0.433846,0.422154,0.413538,0.408615,0.404923,0.403692,0.406769,0.414154,0.425846,0.441846,0.459692,0.521231,0.497846,0.476308,0.457231,0.441846,0.429538,0.420308,0.414154,0.409231,0.408,0.411077,0.417846,0.429538,0.444923,0.462769,0.538462,0.513231,0.490462,0.470769,0.452923,0.44,0.429538,0.422154,0.417231,0.416,0.418462,0.425231,0.436308,0.451692,0.468923,0.558154,0.532923,0.508923,0.488,0.469538,0.454154,0.442462,0.434462,0.428923,0.427692,0.429538,0.436308,0.447385,0.461538,0.479385,0.580308,0.555077,0.531692,0.509538,0.490462,0.473231,0.460923,0.451077,0.444923,0.443077,0.444923,0.451077,0.461538,0.475077,0.492923,96.0,38.0,CL
8,0.552,0.544,0.536615,0.529846,0.524923,0.521846,0.52,0.519385,0.520615,0.523077,0.527385,0.534769,0.542154,0.549538,0.556923,0.537231,0.527385,0.518154,0.510769,0.504615,0.500923,0.498462,0.497231,0.499077,0.502154,0.508308,0.515692,0.525538,0.534769,0.544,0.523692,0.512,0.502154,0.492923,0.486154,0.481231,0.477538,0.476308,0.478769,0.481231,0.488615,0.496,0.507692,0.518769,0.530462,0.512,0.498462,0.486769,0.476923,0.469538,0.462769,0.457846,0.456,0.457846,0.460923,0.468308,0.477538,0.489846,0.503385,0.517538,0.502154,0.488,0.475077,0.464,0.454769,0.446769,0.440615,0.438154,0.438769,0.443077,0.449231,0.459077,0.472,0.487385,0.503385,0.495385,0.48,0.465231,0.453538,0.443077,0.433846,0.427692,0.424615,0.424615,0.427077,0.433846,0.443077,0.456615,0.472615,0.490462,0.491692,0.474462,0.459077,0.445538,0.433846,0.424615,0.418462,0.414769,0.413538,0.416,0.421538,0.430769,0.444308,0.460308,0.478769,0.490462,0.472615,0.456,0.441231,0.428923,0.419077,0.412923,0.408615,0.407385,0.408615,0.412923,0.421538,0.434462,0.451077,0.469538,0.492923,0.473846,0.456,0.440615,0.427692,0.417231,0.409846,0.405538,0.403077,0.403692,0.408,0.416,0.428308,0.444923,0.462769,0.499077,0.477538,0.459077,0.443077,0.429538,0.418462,0.410462,0.405538,0.403077,0.403077,0.406154,0.413538,0.425231,0.441231,0.459692,0.508308,0.485538,0.465231,0.448615,0.433846,0.422154,0.413538,0.408615,0.404923,0.403692,0.406769,0.414154,0.425846,0.441846,0.459692,0.521231,0.497846,0.476308,0.457231,0.441846,0.429538,0.420308,0.414154,0.409231,0.408,0.411077,0.417846,0.429538,0.444923,0.462769,0.538462,0.513231,0.490462,0.470769,0.452923,0.44,0.429538,0.422154,0.417231,0.416,0.418462,0.425231,0.436308,0.451692,0.468923,0.558154,0.532923,0.508923,0.488,0.469538,0.454154,0.442462,0.434462,0.428923,0.427692,0.429538,0.436308,0.447385,0.461538,0.479385,0.580308,0.555077,0.531692,0.509538,0.490462,0.473231,0.460923,0.451077,0.444923,0.443077,0.444923,0.451077,0.461538,0.475077,0.492923,96.0,38.0,CL
9,0.553231,0.548308,0.544,0.540308,0.536615,0.532923,0.529846,0.528,0.526154,0.524923,0.523692,0.521846,0.521231,0.52,0.518154,0.538462,0.532923,0.528,0.524308,0.520615,0.516923,0.514462,0.512615,0.512,0.510769,0.510154,0.509538,0.510154,0.510154,0.510769,0.523692,0.517538,0.512,0.508308,0.504,0.500923,0.499692,0.496615,0.496615,0.495385,0.496,0.496,0.497231,0.499077,0.500923,0.508923,0.501538,0.496615,0.491692,0.488,0.484308,0.483077,0.48,0.48,0.48,0.481846,0.483077,0.485538,0.489231,0.492923,0.495385,0.487385,0.481231,0.475692,0.471385,0.467692,0.466462,0.464615,0.463385,0.462769,0.464,0.465231,0.467692,0.471385,0.477538,0.483692,0.474462,0.467077,0.460923,0.456,0.452308,0.449846,0.448,0.446769,0.446769,0.447385,0.449846,0.452923,0.456615,0.461538,0.475077,0.465231,0.456615,0.449231,0.443692,0.439385,0.435692,0.433231,0.432,0.431385,0.432,0.434462,0.438769,0.443692,0.450462,0.470769,0.459077,0.449231,0.441231,0.435077,0.430154,0.426462,0.424,0.422154,0.421538,0.422154,0.424615,0.427692,0.433231,0.440615,0.470154,0.457231,0.446769,0.438154,0.431385,0.425846,0.421538,0.419077,0.417231,0.416615,0.416615,0.419077,0.422769,0.428308,0.435077,0.475077,0.460923,0.448615,0.439385,0.432,0.426462,0.421538,0.418462,0.416615,0.416,0.416615,0.418462,0.422154,0.427077,0.435077,0.485538,0.470769,0.457231,0.446769,0.438154,0.432,0.427077,0.424,0.421538,0.420923,0.420923,0.422769,0.425846,0.431385,0.438769,0.499692,0.484923,0.470769,0.459692,0.450462,0.443077,0.437538,0.433846,0.431385,0.430154,0.430154,0.431385,0.434462,0.439385,0.446769,0.519385,0.503385,0.489846,0.477538,0.468308,0.460308,0.454154,0.449231,0.446154,0.443692,0.443077,0.444308,0.446769,0.451692,0.459077,0.540308,0.524923,0.511385,0.499077,0.488615,0.480615,0.473231,0.468308,0.464,0.461538,0.460308,0.460923,0.462769,0.467692,0.475077,0.564308,0.548923,0.535385,0.522462,0.511385,0.502154,0.494769,0.489231,0.484923,0.481846,0.48,0.480615,0.482462,0.487385,0.494154,98.0,38.0,CL
