,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,label
0,-1.801278,-1.828231,-1.827623,-1.830971,-1.768458,-1.7812,-1.802634,-1.74709,-1.767941,-1.736193,-1.718971,-1.716411,-1.730067,-1.774254,-1.78062,-1.801278,-1.828231,-1.827623,-1.830971,-1.8406,-1.850102,-1.868834,-1.810558,-1.829218,-1.795785,-1.777348,-1.774014,-1.78771,-1.832894,-1.841008,-1.715723,-1.745536,-1.827623,-1.830971,-1.8406,-1.850102,-1.868834,-1.810558,-1.829218,-1.795785,-1.835726,-1.831617,-1.845353,-1.832894,-1.841008,-1.630168,-1.662841,-1.748579,-1.755698,-1.768458,-1.7812,-1.802634,-1.810558,-1.767941,-1.795785,-1.777348,-1.774014,-1.78771,-1.774254,-1.78062,-1.544613,-1.580146,-1.669535,-1.680424,-1.696316,-1.712299,-1.736433,-1.74709,-1.706663,-1.736193,-1.718971,-1.716411,-1.730067,-1.715614,-1.720232,-1.459058,-1.497451,-1.511448,-1.605151,-1.624174,-1.643397,-1.604031,-1.620154,-1.645386,-1.617011,-1.660594,-1.658808,-1.614781,-1.598335,-1.599457,-1.287948,-1.414756,-1.432404,-1.454605,-1.479889,-1.505594,-1.471629,-1.493217,-1.522831,-1.497829,-1.54384,-1.543602,-1.557138,-1.539695,-1.539069,-1.202393,-1.249366,-1.274316,-1.304058,-1.335605,-1.367791,-1.339227,-1.366281,-1.400275,-1.378647,-1.427085,-1.428396,-1.441852,-1.481055,-1.478682,-1.031283,-1.083975,-1.116228,-1.153512,-1.191321,-1.161086,-1.206825,-1.239345,-1.27772,-1.319056,-1.310331,-1.31319,-1.326567,-1.363775,-1.418294,-0.945729,-1.00128,-0.95814,-1.002965,-1.047036,-1.092184,-1.140624,-1.175877,-1.155165,-1.199874,-1.193577,-1.255588,-1.268924,-1.246495,-1.297519,-0.774619,-0.83589,-0.800053,-0.852419,-0.902752,-0.954381,-1.008222,-1.04894,-1.03261,-1.080692,-1.076822,-1.140382,-1.153638,-1.129215,-1.176743,-0.689064,-0.6705,-0.721009,-0.777145,-0.83061,-0.885479,-0.942021,-0.922004,-0.971332,-0.96151,-0.960068,-0.967573,-0.980709,-1.011935,-0.99558,-0.603509,-0.587805,-0.641965,-0.701872,-0.758468,-0.816577,-0.80962,-0.795068,-0.848777,-0.842328,-0.843314,-0.852367,-0.865423,-0.894655,-0.874805,-0.517954,-0.50511,-0.562921,-0.626599,-0.686325,-0.678774,-0.677218,-0.731599,-0.726222,-0.723146,-0.726559,-0.737161,-0.750137,-0.718735,-0.693642,-0.432399,-0.50511,-0.483877,-0.551326,-0.542041,-0.609873,-0.611017,-0.604663,-0.603667,-0.603963,-0.609805,-0.621956,-0.577208,-0.542816,-0.512479,CL
1,-1.100205,-1.179213,-1.246451,-1.372362,-1.423461,-1.533666,-1.577267,-1.620176,-1.661109,-1.648806,-1.649758,-1.658039,-1.629948,-1.588886,-1.507895,-1.364326,-1.502645,-1.562332,-1.678435,-1.720015,-1.764574,-1.802482,-1.78631,-1.770763,-1.758332,-1.76054,-1.714296,-1.687881,-1.648449,-1.569886,-1.628446,-1.76139,-1.815037,-1.862078,-1.897948,-1.880028,-1.858786,-1.841688,-1.82559,-1.813095,-1.76054,-1.714296,-1.687881,-1.648449,-1.569886,-1.826537,-1.890762,-1.94139,-1.923293,-1.897948,-1.880028,-1.858786,-1.841688,-1.82559,-1.758332,-1.76054,-1.714296,-1.687881,-1.588886,-1.569886,-1.892567,-1.955449,-1.94139,-1.923293,-1.897948,-1.880028,-1.858786,-1.78631,-1.770763,-1.758332,-1.705149,-1.658039,-1.629948,-1.588886,-1.569886,-1.892567,-1.890762,-1.878214,-1.862078,-1.838637,-1.764574,-1.746178,-1.730932,-1.715936,-1.648806,-1.594367,-1.601783,-1.572016,-1.529323,-1.507895,-1.826537,-1.76139,-1.751861,-1.739649,-1.720015,-1.64912,-1.633571,-1.620176,-1.606282,-1.53928,-1.538976,-1.489271,-1.45615,-1.46976,-1.445904,-1.694476,-1.632017,-1.625509,-1.556006,-1.542083,-1.533666,-1.520963,-1.509421,-1.441801,-1.429755,-1.428193,-1.376758,-1.398217,-1.350633,-1.321921,-1.496386,-1.502645,-1.43598,-1.433577,-1.423461,-1.360485,-1.352052,-1.343287,-1.332147,-1.265466,-1.26202,-1.264246,-1.224419,-1.231507,-1.197939,-1.298295,-1.308586,-1.309627,-1.249933,-1.245528,-1.187304,-1.183141,-1.177154,-1.112839,-1.101177,-1.095846,-1.03922,-1.05062,-1.052818,-1.073956,-1.100205,-1.114527,-1.120098,-1.06629,-1.067596,-1.014123,-1.014229,-0.955642,-0.948358,-0.936889,-0.874282,-0.870452,-0.876821,-0.874129,-0.887983,-0.968145,-0.920468,-0.867393,-0.882647,-0.830352,-0.840942,-0.789014,-0.789509,-0.729051,-0.717837,-0.708108,-0.701683,-0.64509,-0.635876,-0.640018,-0.770054,-0.726409,-0.677864,-0.637789,-0.593109,-0.610034,-0.563799,-0.567997,-0.509743,-0.498786,-0.486544,-0.476658,-0.471292,-0.457187,-0.454044,-0.704024,-0.597037,-0.551512,-0.454145,-0.415176,-0.379126,-0.338584,-0.346486,-0.290435,-0.279735,-0.264979,-0.251633,-0.23956,-0.218935,-0.206079,-0.571964,-0.467664,-0.425159,-0.331716,-0.237243,-0.205945,-0.113368,-0.124974,-0.071127,-0.060683,-0.043415,-0.026608,-0.007829,0.019318,-0.020105,CL
2,-1.061401,-1.149094,-1.177763,-1.202718,-1.235538,-1.258511,-1.289408,-1.32434,-1.304577,-1.356521,-1.355394,-1.372831,-1.396292,-1.440279,-1.436687,-1.061401,-1.082972,-1.177763,-1.202718,-1.235538,-1.258511,-1.289408,-1.32434,-1.364576,-1.356521,-1.355394,-1.372831,-1.396292,-1.440279,-1.436687,-1.061401,-1.082972,-1.177763,-1.202718,-1.235538,-1.258511,-1.289408,-1.32434,-1.364576,-1.416025,-1.414637,-1.432309,-1.456365,-1.440279,-1.436687,-0.994612,-1.082972,-1.112184,-1.202718,-1.235538,-1.258511,-1.289408,-1.32434,-1.364576,-1.416025,-1.414637,-1.432309,-1.456365,-1.440279,-1.436687,-0.927824,-1.01685,-1.046605,-1.138131,-1.171512,-1.258511,-1.289408,-1.32434,-1.364576,-1.356521,-1.414637,-1.432309,-1.396292,-1.440279,-1.436687,-0.794246,-0.884606,-0.981026,-1.008957,-1.107485,-1.132999,-1.22765,-1.26362,-1.304577,-1.297017,-1.296151,-1.372831,-1.336219,-1.379097,-1.37363,-0.660668,-0.818484,-0.849868,-0.944369,-0.979432,-1.070244,-1.104134,-1.142181,-1.184578,-1.17801,-1.236907,-1.253873,-1.276146,-1.256731,-1.247515,-0.52709,-0.620118,-0.71871,-0.815195,-0.851379,-0.944732,-0.980618,-1.020743,-1.004581,-1.059003,-1.059177,-1.134916,-1.095927,-1.134365,-1.1214,-0.393513,-0.487874,-0.587552,-0.621433,-0.723326,-0.756464,-0.795344,-0.838584,-0.884582,-0.880492,-0.94069,-0.95648,-0.975781,-0.950816,-0.932228,-0.193146,-0.289507,-0.390815,-0.492259,-0.531247,-0.568196,-0.61007,-0.656426,-0.704585,-0.761485,-0.76296,-0.778045,-0.795561,-0.767267,-0.743055,0.074009,-0.091141,-0.194078,-0.298498,-0.339167,-0.442684,-0.486553,-0.534987,-0.524587,-0.582974,-0.585229,-0.599609,-0.555269,-0.583718,-0.553883,0.341165,0.173347,0.068238,-0.104736,-0.147088,-0.254416,-0.301279,-0.29211,-0.34459,-0.34496,-0.348255,-0.361694,-0.37505,-0.338987,-0.301653,0.60832,0.437835,0.264975,0.153613,0.044992,-0.003392,-0.054247,-0.109951,-0.164592,-0.166449,-0.170525,-0.12378,-0.134758,-0.094255,-0.049423,0.808687,0.702323,0.59287,0.411961,0.301098,0.184876,0.131027,0.072207,0.075404,0.071565,0.066449,0.114135,0.105534,0.150477,0.202806,1.009053,0.966812,0.855186,0.734897,0.557204,0.498655,0.378059,0.315085,0.315401,0.309579,0.303423,0.352049,0.345826,0.395209,0.455036,CL
3,-1.061401,-1.149094,-1.177763,-1.202718,-1.235538,-1.258511,-1.289408,-1.32434,-1.304577,-1.356521,-1.355394,-1.372831,-1.396292,-1.440279,-1.436687,-1.061401,-1.082972,-1.177763,-1.202718,-1.235538,-1.258511,-1.289408,-1.32434,-1.364576,-1.356521,-1.355394,-1.372831,-1.396292,-1.440279,-1.436687,-1.061401,-1.082972,-1.177763,-1.202718,-1.235538,-1.258511,-1.289408,-1.32434,-1.364576,-1.416025,-1.414637,-1.432309,-1.456365,-1.440279,-1.436687,-0.994612,-1.082972,-1.112184,-1.202718,-1.235538,-1.258511,-1.289408,-1.32434,-1.364576,-1.416025,-1.414637,-1.432309,-1.456365,-1.440279,-1.436687,-0.927824,-1.01685,-1.046605,-1.138131,-1.171512,-1.258511,-1.289408,-1.32434,-1.364576,-1.356521,-1.414637,-1.432309,-1.396292,-1.440279,-1.436687,-0.794246,-0.884606,-0.981026,-1.008957,-1.107485,-1.132999,-1.22765,-1.26362,-1.304577,-1.297017,-1.296151,-1.372831,-1.336219,-1.379097,-1.37363,-0.660668,-0.818484,-0.849868,-0.944369,-0.979432,-1.070244,-1.104134,-1.142181,-1.184578,-1.17801,-1.236907,-1.253873,-1.276146,-1.256731,-1.247515,-0.52709,-0.620118,-0.71871,-0.815195,-0.851379,-0.944732,-0.980618,-1.020743,-1.004581,-1.059003,-1.059177,-1.134916,-1.095927,-1.134365,-1.1214,-0.393513,-0.487874,-0.587552,-0.621433,-0.723326,-0.756464,-0.795344,-0.838584,-0.884582,-0.880492,-0.94069,-0.95648,-0.975781,-0.950816,-0.932228,-0.193146,-0.289507,-0.390815,-0.492259,-0.531247,-0.568196,-0.61007,-0.656426,-0.704585,-0.761485,-0.76296,-0.778045,-0.795561,-0.767267,-0.743055,0.074009,-0.091141,-0.194078,-0.298498,-0.339167,-0.442684,-0.486553,-0.534987,-0.524587,-0.582974,-0.585229,-0.599609,-0.555269,-0.583718,-0.553883,0.341165,0.173347,0.068238,-0.104736,-0.147088,-0.254416,-0.301279,-0.29211,-0.34459,-0.34496,-0.348255,-0.361694,-0.37505,-0.338987,-0.301653,0.60832,0.437835,0.264975,0.153613,0.044992,-0.003392,-0.054247,-0.109951,-0.164592,-0.166449,-0.170525,-0.12378,-0.134758,-0.094255,-0.049423,0.808687,0.702323,0.59287,0.411961,0.301098,0.184876,0.131027,0.072207,0.075404,0.071565,0.066449,0.114135,0.105534,0.150477,0.202806,1.009053,0.966812,0.855186,0.734897,0.557204,0.498655,0.378059,0.315085,0.315401,0.309579,0.303423,0.352049,0.345826,0.395209,0.455036,CL
4,-0.814793,-0.898509,-0.975725,-1.057389,-1.130147,-1.211192,-1.237555,-1.272529,-1.309052,-1.366934,-1.416904,-1.428275,-1.44926,-1.417381,-1.468667,-0.814793,-0.898509,-0.975725,-1.057389,-1.130147,-1.211192,-1.237555,-1.328349,-1.364438,-1.366934,-1.416904,-1.428275,-1.44926,-1.474759,-1.468667,-0.748462,-0.898509,-0.975725,-1.057389,-1.130147,-1.211192,-1.237555,-1.328349,-1.364438,-1.366934,-1.416904,-1.428275,-1.44926,-1.417381,-1.468667,-0.748462,-0.834018,-0.975725,-1.057389,-1.130147,-1.211192,-1.237555,-1.272529,-1.309052,-1.366934,-1.361573,-1.37253,-1.392726,-1.360004,-1.40992,-0.748462,-0.834018,-0.913319,-1.057389,-1.07096,-1.153479,-1.181095,-1.21671,-1.253666,-1.255959,-1.250913,-1.26104,-1.279658,-1.302626,-1.292427,-0.748462,-0.834018,-0.913319,-0.996591,-1.07096,-1.095766,-1.181095,-1.160891,-1.19828,-1.200472,-1.195583,-1.205295,-1.16659,-1.187871,-1.174933,-0.748462,-0.834018,-0.913319,-0.935793,-1.011773,-1.038053,-1.068173,-1.105071,-1.087509,-1.089498,-1.084922,-1.093805,-1.053521,-1.073116,-1.05744,-0.682132,-0.769528,-0.850913,-0.874995,-0.952586,-0.98034,-1.011713,-0.993433,-0.976737,-0.978523,-0.974261,-0.982315,-0.940453,-0.958361,-0.939947,-0.682132,-0.705037,-0.788507,-0.814197,-0.834213,-0.864914,-0.898792,-0.881794,-0.921351,-0.923036,-0.863601,-0.870826,-0.883919,-0.843606,-0.822453,-0.615801,-0.640547,-0.726102,-0.7534,-0.775026,-0.749488,-0.78587,-0.770156,-0.810579,-0.812062,-0.75294,-0.759336,-0.770851,-0.72885,-0.70496,-0.483139,-0.576057,-0.60129,-0.631804,-0.656653,-0.634063,-0.672949,-0.658517,-0.699808,-0.701088,-0.64228,-0.647846,-0.601248,-0.614095,-0.587467,-0.350478,-0.447076,-0.476478,-0.510208,-0.479093,-0.518637,-0.560028,-0.546878,-0.53365,-0.534626,-0.531619,-0.536356,-0.48818,-0.49934,-0.469973,-0.217816,-0.253604,-0.351666,-0.327815,-0.360719,-0.345498,-0.390646,-0.37942,-0.422878,-0.423652,-0.365628,-0.369122,-0.375112,-0.327207,-0.35248,-0.018824,-0.124623,-0.164448,-0.20622,-0.242346,-0.230072,-0.221264,-0.267782,-0.256721,-0.25719,-0.254968,-0.257632,-0.262043,-0.212452,-0.17624,0.180169,0.133338,0.02277,-0.023826,-0.064785,-0.056933,-0.108343,-0.100324,-0.090563,-0.090729,-0.088977,-0.090397,-0.092441,-0.040319,0.0,CL
5,-1.632359,-1.492377,-1.454928,-1.494123,-1.585642,-1.618313,-1.632576,-1.668215,-1.646583,-1.662171,-1.68164,-1.66596,-1.670672,-1.688852,-1.717426,-1.461746,-1.492377,-1.536307,-1.652981,-1.739226,-1.842854,-1.849601,-1.880934,-1.857878,-1.876957,-1.900856,-1.894541,-1.909801,-1.857509,-1.80814,-1.547052,-1.658321,-1.780445,-1.970697,-2.046392,-2.067395,-2.066626,-2.093653,-2.069174,-2.020147,-1.973928,-1.970734,-1.909801,-1.857509,-1.80814,-1.717666,-1.907237,-2.024582,-2.129555,-2.199975,-2.142242,-2.138968,-2.093653,-2.069174,-2.020147,-1.973928,-1.894541,-1.830091,-1.688852,-1.626713,-1.88828,-1.990209,-2.105961,-2.129555,-2.123184,-2.067395,-1.994284,-1.95184,-1.92831,-1.876957,-1.827784,-1.742154,-1.590962,-1.520195,-1.445286,-1.717666,-1.741293,-1.861824,-1.811839,-1.816017,-1.842854,-1.777259,-1.739121,-1.646583,-1.590576,-1.535496,-1.513573,-1.431543,-1.351537,-1.263859,-1.291132,-1.326432,-1.373549,-1.414694,-1.432059,-1.393772,-1.415551,-1.384589,-1.364855,-1.304195,-1.316281,-1.208799,-1.192414,-1.098551,-1.082432,-0.77929,-0.8286,-0.885274,-0.93812,-0.97131,-1.019537,-0.981501,-1.030058,-1.012696,-1.017814,-1.023993,-0.980219,-0.953285,-0.929894,-0.901005,-0.182142,-0.330767,-0.478378,-0.540976,-0.587352,-0.645302,-0.692134,-0.746433,-0.8014,-0.803028,-0.87785,-0.827832,-0.793865,-0.761237,-0.719578,0.415007,0.167065,-0.071482,-0.22326,-0.356977,-0.420761,-0.547451,-0.60462,-0.660537,-0.659837,-0.731706,-0.675445,-0.634446,-0.59258,-0.447438,0.841541,0.581926,0.335414,0.015027,-0.203394,-0.345914,-0.402767,-0.462807,-0.519673,-0.588242,-0.585562,-0.523058,-0.475027,-0.423922,-0.266011,1.097462,0.913814,0.660931,0.332743,0.026981,-0.19622,-0.330426,-0.391901,-0.449241,-0.445052,-0.439419,-0.446865,-0.395317,-0.255265,-0.084584,1.182769,1.079759,0.823689,0.57103,0.257356,0.02832,-0.185742,-0.320995,-0.378809,-0.373456,-0.366347,-0.370671,-0.315607,-0.170936,0.006129,1.182769,1.162731,0.986448,0.729888,0.48773,0.252861,0.103625,-0.108276,-0.237946,-0.301861,-0.293275,-0.294478,-0.235898,-0.086608,0.006129,1.182769,1.162731,1.067827,0.888746,0.718105,0.477402,0.32065,0.175349,-0.02665,-0.087075,-0.147131,-0.142091,-0.076478,-0.002279,0.096843,CL
6,-1.824418,-1.841966,-1.857848,-1.897264,-1.881776,-1.88813,-1.904229,-1.887557,-1.87171,-1.89086,-1.857255,-1.839337,-1.788396,-1.750938,-1.67211,-1.765514,-1.785665,-1.803912,-1.844779,-1.830712,-1.837943,-1.805029,-1.838096,-1.87171,-1.89086,-1.857255,-1.839337,-1.788396,-1.750938,-1.731427,-1.70661,-1.729363,-1.749977,-1.739809,-1.779648,-1.787755,-1.755429,-1.788634,-1.822349,-1.840923,-1.857255,-1.839337,-1.788396,-1.750938,-1.731427,-1.588803,-1.616761,-1.642107,-1.634839,-1.626456,-1.68738,-1.65623,-1.689711,-1.723628,-1.741049,-1.756012,-1.735752,-1.734752,-1.750938,-1.67211,-1.412093,-1.447857,-1.480301,-1.477383,-1.473264,-1.486631,-1.507431,-1.541327,-1.575545,-1.591238,-1.604148,-1.632167,-1.627462,-1.638805,-1.612793,-1.235382,-1.222652,-1.264561,-1.267443,-1.320072,-1.285882,-1.309032,-1.343481,-1.378102,-1.39149,-1.452284,-1.476789,-1.520173,-1.526672,-1.494158,-0.999768,-1.053748,-1.04882,-1.109988,-1.115817,-1.085132,-1.110632,-1.145635,-1.180658,-1.191741,-1.249799,-1.321411,-1.359239,-1.358473,-1.375523,-0.764154,-0.828542,-0.83308,-0.900048,-0.911561,-0.884383,-0.912233,-0.947789,-0.983215,-0.991993,-1.047314,-1.114241,-1.144661,-1.190274,-1.197571,-0.469636,-0.547036,-0.617339,-0.690108,-0.707305,-0.733821,-0.763434,-0.749943,-0.785771,-0.842182,-0.89545,-0.90707,-0.983727,-0.966009,-0.960301,-0.234022,-0.32183,-0.401598,-0.480167,-0.503049,-0.533071,-0.565035,-0.601559,-0.637689,-0.642434,-0.692965,-0.751693,-0.769148,-0.797809,-0.782349,0.060496,-0.040324,-0.185858,-0.217742,-0.298793,-0.332322,-0.416236,-0.453174,-0.440245,-0.492622,-0.541101,-0.544522,-0.55457,-0.573544,-0.604396,0.355013,0.241183,0.137753,-0.007802,-0.094537,-0.131572,-0.217837,-0.255328,-0.292163,-0.292874,-0.338616,-0.337352,-0.339991,-0.349278,-0.367127,0.590627,0.522689,0.407429,0.307108,0.160782,0.069177,-0.019438,-0.057482,-0.094719,-0.093126,-0.13613,-0.130181,-0.179057,-0.181079,-0.189174,0.826241,0.747895,0.677105,0.569534,0.467166,0.370301,0.278161,0.189825,0.152085,0.106622,0.066355,0.076989,0.035521,0.043186,0.048095,1.061856,0.9731,0.892846,0.831959,0.722486,0.621238,0.52616,0.437133,0.398889,0.356308,0.319462,0.284159,0.2501,0.267452,0.226047,CL
7,-1.824418,-1.841966,-1.857848,-1.897264,-1.881776,-1.88813,-1.904229,-1.887557,-1.87171,-1.89086,-1.857255,-1.839337,-1.788396,-1.750938,-1.67211,-1.765514,-1.785665,-1.803912,-1.844779,-1.830712,-1.837943,-1.805029,-1.838096,-1.87171,-1.89086,-1.857255,-1.839337,-1.788396,-1.750938,-1.731427,-1.70661,-1.729363,-1.749977,-1.739809,-1.779648,-1.787755,-1.755429,-1.788634,-1.822349,-1.840923,-1.857255,-1.839337,-1.788396,-1.750938,-1.731427,-1.588803,-1.616761,-1.642107,-1.634839,-1.626456,-1.68738,-1.65623,-1.689711,-1.723628,-1.741049,-1.756012,-1.735752,-1.734752,-1.750938,-1.67211,-1.412093,-1.447857,-1.480301,-1.477383,-1.473264,-1.486631,-1.507431,-1.541327,-1.575545,-1.591238,-1.604148,-1.632167,-1.627462,-1.638805,-1.612793,-1.235382,-1.222652,-1.264561,-1.267443,-1.320072,-1.285882,-1.309032,-1.343481,-1.378102,-1.39149,-1.452284,-1.476789,-1.520173,-1.526672,-1.494158,-0.999768,-1.053748,-1.04882,-1.109988,-1.115817,-1.085132,-1.110632,-1.145635,-1.180658,-1.191741,-1.249799,-1.321411,-1.359239,-1.358473,-1.375523,-0.764154,-0.828542,-0.83308,-0.900048,-0.911561,-0.884383,-0.912233,-0.947789,-0.983215,-0.991993,-1.047314,-1.114241,-1.144661,-1.190274,-1.197571,-0.469636,-0.547036,-0.617339,-0.690108,-0.707305,-0.733821,-0.763434,-0.749943,-0.785771,-0.842182,-0.89545,-0.90707,-0.983727,-0.966009,-0.960301,-0.234022,-0.32183,-0.401598,-0.480167,-0.503049,-0.533071,-0.565035,-0.601559,-0.637689,-0.642434,-0.692965,-0.751693,-0.769148,-0.797809,-0.782349,0.060496,-0.040324,-0.185858,-0.217742,-0.298793,-0.332322,-0.416236,-0.453174,-0.440245,-0.492622,-0.541101,-0.544522,-0.55457,-0.573544,-0.604396,0.355013,0.241183,0.137753,-0.007802,-0.094537,-0.131572,-0.217837,-0.255328,-0.292163,-0.292874,-0.338616,-0.337352,-0.339991,-0.349278,-0.367127,0.590627,0.522689,0.407429,0.307108,0.160782,0.069177,-0.019438,-0.057482,-0.094719,-0.093126,-0.13613,-0.130181,-0.179057,-0.181079,-0.189174,0.826241,0.747895,0.677105,0.569534,0.467166,0.370301,0.278161,0.189825,0.152085,0.106622,0.066355,0.076989,0.035521,0.043186,0.048095,1.061856,0.9731,0.892846,0.831959,0.722486,0.621238,0.52616,0.437133,0.398889,0.356308,0.319462,0.284159,0.2501,0.267452,0.226047,CL
8,-1.902573,-1.909005,-1.865356,-1.901504,-1.887876,-1.867849,-1.870535,-1.869837,-1.821794,-1.790235,-1.755662,-1.661133,-1.627145,-1.544447,-1.39488,-1.958486,-1.963611,-1.91888,-1.901504,-1.887876,-1.867849,-1.870535,-1.869837,-1.874787,-1.844263,-1.810759,-1.773597,-1.684619,-1.603481,-1.516103,-1.958486,-1.963611,-1.91888,-1.901504,-1.887876,-1.919929,-1.922788,-1.922249,-1.927779,-1.898292,-1.865856,-1.829829,-1.799568,-1.721548,-1.637325,-1.958486,-1.909005,-1.91888,-1.901504,-1.887876,-1.919929,-1.922788,-1.922249,-1.927779,-1.898292,-1.920953,-1.942294,-1.914516,-1.839615,-1.819159,-1.846659,-1.854398,-1.865356,-1.848525,-1.835356,-1.867849,-1.870535,-1.869837,-1.874787,-1.898292,-1.920953,-1.886062,-1.914516,-1.898649,-1.819159,-1.678918,-1.69058,-1.704787,-1.689589,-1.730316,-1.711609,-1.766028,-1.765012,-1.768802,-1.790235,-1.755662,-1.773597,-1.799568,-1.780582,-1.758548,-1.39935,-1.472155,-1.490694,-1.530653,-1.520237,-1.555368,-1.557014,-1.555364,-1.556832,-1.574122,-1.590371,-1.6049,-1.569671,-1.544447,-1.516103,-1.063869,-1.144517,-1.169555,-1.212781,-1.257637,-1.294967,-1.295746,-1.293304,-1.29187,-1.30398,-1.314885,-1.323739,-1.282299,-1.249279,-1.213046,-0.672474,-0.762274,-0.848415,-0.89491,-0.942518,-0.982486,-0.982225,-0.978831,-0.973915,-0.979811,-0.984303,-0.986345,-0.937453,-0.954111,-0.909989,-0.281079,-0.38003,-0.473753,-0.524059,-0.574879,-0.617924,-0.61645,-0.664359,-0.655961,-0.655641,-0.65372,-0.648951,-0.650081,-0.599909,-0.606933,0.054402,0.002214,-0.09909,-0.153209,-0.20724,-0.253363,-0.302929,-0.297474,-0.285013,-0.331471,-0.323137,-0.311557,-0.305235,-0.304741,-0.303876,0.33397,0.329851,0.275572,0.217642,0.160398,0.111198,0.062845,0.016999,0.032941,-0.007301,0.007446,-0.030396,-0.017864,-0.009573,-0.000819,0.613538,0.602882,0.596712,0.535514,0.475518,0.423679,0.376367,0.331471,0.350896,0.316869,0.282931,0.306998,0.326982,0.285595,0.302238,0.837192,0.821307,0.810804,0.800407,0.790637,0.736161,0.689888,0.645944,0.615858,0.58701,0.613514,0.588159,0.614354,0.580763,0.605294,1.004933,0.985126,1.024897,1.012322,1.000716,0.944481,0.951155,0.908004,0.88082,0.857152,0.888999,0.869321,0.844251,0.875931,0.908351,CL
9,-1.902573,-1.909005,-1.865356,-1.901504,-1.887876,-1.867849,-1.870535,-1.869837,-1.821794,-1.790235,-1.755662,-1.661133,-1.627145,-1.544447,-1.39488,-1.958486,-1.963611,-1.91888,-1.901504,-1.887876,-1.867849,-1.870535,-1.869837,-1.874787,-1.844263,-1.810759,-1.773597,-1.684619,-1.603481,-1.516103,-1.958486,-1.963611,-1.91888,-1.901504,-1.887876,-1.919929,-1.922788,-1.922249,-1.927779,-1.898292,-1.865856,-1.829829,-1.799568,-1.721548,-1.637325,-1.958486,-1.909005,-1.91888,-1.901504,-1.887876,-1.919929,-1.922788,-1.922249,-1.927779,-1.898292,-1.920953,-1.942294,-1.914516,-1.839615,-1.819159,-1.846659,-1.854398,-1.865356,-1.848525,-1.835356,-1.867849,-1.870535,-1.869837,-1.874787,-1.898292,-1.920953,-1.886062,-1.914516,-1.898649,-1.819159,-1.678918,-1.69058,-1.704787,-1.689589,-1.730316,-1.711609,-1.766028,-1.765012,-1.768802,-1.790235,-1.755662,-1.773597,-1.799568,-1.780582,-1.758548,-1.39935,-1.472155,-1.490694,-1.530653,-1.520237,-1.555368,-1.557014,-1.555364,-1.556832,-1.574122,-1.590371,-1.6049,-1.569671,-1.544447,-1.516103,-1.063869,-1.144517,-1.169555,-1.212781,-1.257637,-1.294967,-1.295746,-1.293304,-1.29187,-1.30398,-1.314885,-1.323739,-1.282299,-1.249279,-1.213046,-0.672474,-0.762274,-0.848415,-0.89491,-0.942518,-0.982486,-0.982225,-0.978831,-0.973915,-0.979811,-0.984303,-0.986345,-0.937453,-0.954111,-0.909989,-0.281079,-0.38003,-0.473753,-0.524059,-0.574879,-0.617924,-0.61645,-0.664359,-0.655961,-0.655641,-0.65372,-0.648951,-0.650081,-0.599909,-0.606933,0.054402,0.002214,-0.09909,-0.153209,-0.20724,-0.253363,-0.302929,-0.297474,-0.285013,-0.331471,-0.323137,-0.311557,-0.305235,-0.304741,-0.303876,0.33397,0.329851,0.275572,0.217642,0.160398,0.111198,0.062845,0.016999,0.032941,-0.007301,0.007446,-0.030396,-0.017864,-0.009573,-0.000819,0.613538,0.602882,0.596712,0.535514,0.475518,0.423679,0.376367,0.331471,0.350896,0.316869,0.282931,0.306998,0.326982,0.285595,0.302238,0.837192,0.821307,0.810804,0.800407,0.790637,0.736161,0.689888,0.645944,0.615858,0.58701,0.613514,0.588159,0.614354,0.580763,0.605294,1.004933,0.985126,1.024897,1.012322,1.000716,0.944481,0.951155,0.908004,0.88082,0.857152,0.888999,0.869321,0.844251,0.875931,0.908351,CL
